Название файла,Имя Художника,Описание картины,Название картины
Albrecht_Dürer83.jpg,Albrecht Dürer,a drawing of a window with a picture of a man and woman in it,St George
Albrecht_Dürer84.jpg,Albrecht Dürer,a drawing of a woman and two men in a room,Madonna and Child with musical angels
Albrecht_Dürer85.jpg,Albrecht Dürer,arafed drawing of a group of people sitting around a table,The Last Supper
Albrecht_Dürer86.jpg,Albrecht Dürer,a drawing of a man holding a bow and a woman kneeling down,Apollo And Diana
Albrecht_Dürer87.jpg,Albrecht Dürer,a drawing of a man on a horse being pulled by a group of people,Allegory of eloquence
Albrecht_Dürer88.jpg,Albrecht Dürer,a drawing of a woman with a turban and a headband,Head of a smiling woman
Albrecht_Dürer89.jpg,Albrecht Dürer,a drawing of a baby sitting on a pillow with a basket on its head,Christ boy
Albrecht_Dürer90.jpg,Albrecht Dürer,a drawing of a hand with a finger pointing towards something,Right Hand of an Apostle
Albrecht_Dürer91.jpg,Albrecht Dürer,a drawing of a man with a turban and a necklace,Portrait of a Man
Albrecht_Dürer92.jpg,Albrecht Dürer,a drawing of a man sitting on a rock with a dog,Study of a Christ on the Mount of Olives
Albrecht_Dürer93.jpg,Albrecht Dürer,arafed drawing of a woman with a hat and a scarf,Self-Portrait At Thirteen
Albrecht_Dürer94.jpg,Albrecht Dürer,a drawing of a bearded man with a long beard,Bearded Man
Albrecht_Dürer95.jpg,Albrecht Dürer,a drawing of a bearded man with a hat and beard,Portrait of a man (John Stabius)
Albrecht_Dürer96.jpg,Albrecht Dürer,a drawing of a man with a staff and a book,St. Paul
Albrecht_Dürer97.jpg,Albrecht Dürer,a drawing of a statue of a man on a pedestal,Bauer goose with a fountain figure
Albrecht_Dürer98.jpg,Albrecht Dürer,a drawing of a painting of a group of people in a field,Doomsday
Albrecht_Dürer99.jpg,Albrecht Dürer,a drawing of a man on a horse with a horse and a horse,Revelation of St. John: The Four Horsemen
Albrecht_Dürer100.jpg,Albrecht Dürer,a drawing of a man with a hat and a pipe,Portrait of Hans Pfaffrot of Gdansk
Albrecht_Dürer101.jpg,Albrecht Dürer,a drawing of a man and a woman standing next to each other,The Dream of the Doctor
Albrecht_Dürer102.jpg,Albrecht Dürer,a drawing of a woman sitting at a table reading a book,The Holy Family in the arbor
Albrecht_Dürer103.jpg,Albrecht Dürer,a drawing of a man riding a horse drawn carriage with a bunch of people,
Albrecht_Dürer104.jpg,Albrecht Dürer,a drawing of two women in dresses and hats standing next to each other,Erin Nuremberg and Venetian
Albrecht_Dürer105.jpg,Albrecht Dürer,arafed drawing of a woman holding a baby in her arms,Virgin Mary suckling the Christ Child
Albrecht_Dürer106.jpg,Albrecht Dürer,a drawing of a woman with a veil on her head,Portrait of a woman from Brussels
Albrecht_Dürer107.jpg,Albrecht Dürer,a drawing of a group of people standing around a man,"Studies on a great ""picture of Mary"" Angel playing"
Albrecht_Dürer108.jpg,Albrecht Dürer,a drawing of a man sitting on a rock with a guitar,Christ and Mary Magdalene
Albrecht_Dürer109.jpg,Albrecht Dürer,a drawing of a vase and a vase with a woman in it,Ornaments for two spoons stalks
Albrecht_Dürer110.jpg,Albrecht Dürer,a drawing of a man sitting on a rock with a castle in the background,St. Anthony Reading
Albrecht_Dürer111.jpg,Albrecht Dürer,a drawing of a man with a beard and a robe,St. Paul
Albrecht_Dürer112.jpg,Albrecht Dürer,a drawing of a man holding a ball and a woman,
Albrecht_Dürer113.jpg,Albrecht Dürer,a black and white drawing of a man with a headband,Portrait of Jakob Fugger
Albrecht_Dürer114.jpg,Albrecht Dürer,a drawing of a woman with a headband and a sign,Portrait of a Windisch farmer
Albrecht_Dürer115.jpg,Albrecht Dürer,a drawing of a man with a beard and a turban,Head of a apostle
Albrecht_Dürer116.jpg,Albrecht Dürer,a drawing of a group of people standing around a building,Mass of Cardinal Albrecht of Brandenburg in the Abbey Church Hall
Albrecht_Dürer117.jpg,Albrecht Dürer,a drawing of a man in a robe and a hat,Blessing Savior
Albrecht_Dürer118.jpg,Albrecht Dürer,a black and white painting of a group of men in a building,Flagellation
Albrecht_Dürer119.jpg,Albrecht Dürer,a drawing of a group of people sitting on a beach,"Holy Family, crowned by two angels"
Albrecht_Dürer120.jpg,Albrecht Dürer,a drawing of a man riding a horse with a dog,The Little Courier
Albrecht_Dürer121.jpg,Albrecht Dürer,a drawing of a group of people standing around a building,Christ before Pilate
Albrecht_Dürer122.jpg,Albrecht Dürer,a drawing of a man riding a horse with a sword,
Albrecht_Dürer123.jpg,Albrecht Dürer,a black and white drawing of a man laying on the ground,Lamentation
Albrecht_Dürer124.jpg,Albrecht Dürer,a drawing of a man in a robe holding a sword,Apostle
Albrecht_Dürer125.jpg,Albrecht Dürer,a drawing of a group of people standing around a table,"Maximilian's Alliance with Henry VIII; The Double Wedding in Vienna; The Campaign in Gelderland; The Investiture of Massimiliano Sforza as Duke of Milan; and The Venetian War, from the Arch of Honor, proof, dated 1515, printed 1517-18"
Albrecht_Dürer126.jpg,Albrecht Dürer,a drawing of a man in a hat and coat,Portrait of a man (Sebastian Brant)
Albrecht_Dürer127.jpg,Albrecht Dürer,a drawing of a family with a baby and a man in a church,"Studies on a great ""picture of the Virgin"" Madonna and Child, saints and angels playing"
Albrecht_Dürer128.jpg,Albrecht Dürer,a drawing of a man's head with a long hair,Head of a Pope
Albrecht_Dürer129.jpg,Albrecht Dürer,a drawing of a man with a sword and a shield,
Albrecht_Dürer130.jpg,Albrecht Dürer,a drawing of a man on a cross with a wooden pole,The evil thief
Albrecht_Dürer131.jpg,Albrecht Dürer,an angel playing a guitar with wings on a pedestal,"Winged Man In Idealistic Clothing, playing a Lute"
Albrecht_Dürer132.jpg,Albrecht Dürer,a drawing of a man and woman standing next to each other,Death and wife
Albrecht_Dürer133.jpg,Albrecht Dürer,sketches of a man and a woman in a wheelchair and other figures,"Study sheet with fools, Faun, Phoenix and Deer Hunting"
Albrecht_Dürer134.jpg,Albrecht Dürer,a drawing of a man with a crown on his head,The Man of Sorrows
Albrecht_Dürer135.jpg,Albrecht Dürer,a drawing of a group of men riding horses with a man on a horse,Fencing Reiter
Albrecht_Dürer136.jpg,Albrecht Dürer,a black and white drawing of a cloth draped over a chair,Father's robe God
Albrecht_Dürer137.jpg,Albrecht Dürer,a drawing of a man with a hat and a necklace,Portrait of a goldsmith from Mechelen
Albrecht_Dürer138.jpg,Albrecht Dürer,there is a painting of a group of people in a building,Christ before Caiaphas
Albrecht_Dürer139.jpg,Albrecht Dürer,a drawing of a man in a cloak and boots,Design to a court dress
Albrecht_Dürer140.jpg,Albrecht Dürer,a black and white drawing of a group of people standing around a building,Ecce homo
Albrecht_Dürer141.jpg,Albrecht Dürer,a drawing of a woman with a turban and a crown,Portrait of African woman Catherine
Albrecht_Dürer142.jpg,Albrecht Dürer,a drawing of a man with a crown of thorns on his head,The dead Christ with the crown of thorns
Albrecht_Dürer143.jpg,Albrecht Dürer,a drawing of a group of people sitting around a table,"Studies on a great ""picture of the Virgin"" Madonna and Child, saints and angels playing"
Albrecht_Dürer144.jpg,Albrecht Dürer,a drawing of a woman with a veil on her head,St. Anna
Albrecht_Dürer145.jpg,Albrecht Dürer,a drawing of a man with a turban and a beard,Portrait of Conrat Verkell
Albrecht_Dürer146.jpg,Albrecht Dürer,a drawing of a baby crying with a chinese writing on it,Weeping Angel boy
Albrecht_Dürer147.jpg,Albrecht Dürer,arafed drawing of a bearded man with a hat and a pipe,Head Of An Old Man
Albrecht_Dürer148.jpg,Albrecht Dürer,two drawings of a woman and a man in hats,Portrait of Marx Ulstat and the beautiful princess in Antwerp
Albrecht_Dürer149.jpg,Albrecht Dürer,a drawing of a man kneeling down next to a woman,Temptation of St. Anthony
Albrecht_Dürer150.jpg,Albrecht Dürer,a drawing of a castle with a clock tower and a tower,The choir of the Groote Kerk in Bergen op Zoon
Albrecht_Dürer151.jpg,Albrecht Dürer,a drawing of a group of people in a room with a man on a bed,A Life of the Virgin
Albrecht_Dürer152.jpg,Albrecht Dürer,a drawing of a woman in a dress and a man in a dress,Two Venetian women
Albrecht_Dürer153.jpg,Albrecht Dürer,a drawing of a drawing of a building with a doorway and a window,Perspectivist study
Albrecht_Dürer154.jpg,Albrecht Dürer,a drawing of a man and woman in a courtyard with a dog,Visitation
Albrecht_Dürer155.jpg,Albrecht Dürer,a drawing of a man in a hat and mantler,"Portrait of Henry Parker, Lord Morley"
Albrecht_Dürer156.jpg,Albrecht Dürer,arafed drawing of a man with long hair and a white shirt,Head of an Angel
Albrecht_Dürer157.jpg,Albrecht Dürer,a drawing of a man with a hat and a necklace,Portrait of an eighteen year old man
Albrecht_Dürer158.jpg,Albrecht Dürer,a drawing of a woman with a crown on her head,Portrait of a girl
Albrecht_Dürer159.jpg,Albrecht Dürer,a drawing of a man in a robe holding a bag,Apostle
Albrecht_Dürer160.jpg,Albrecht Dürer,a drawing of a woman riding a horse next to a man,Young couple on horseback
Albrecht_Dürer161.jpg,Albrecht Dürer,a drawing of a baby sitting on a chair with a toothbrush,
Albrecht_Dürer162.jpg,Albrecht Dürer,a black and white drawing of a man on a horse with a bow,
Albrecht_Dürer163.jpg,Albrecht Dürer,a drawing of a woman in a large hat holding a cat,
Albrecht_Dürer164.jpg,Albrecht Dürer,a drawing of a man laying in a bed with a dog,
Albrecht_Dürer165.jpg,Albrecht Dürer,a drawing of a man and woman in a courtyard with a tree,
Albrecht_Dürer166.jpg,Albrecht Dürer,a drawing of a woman sitting on a rock with a dog,
Albrecht_Dürer167.jpg,Albrecht Dürer,a drawing of a man with a pipe leaning against a tree,
Albrecht_Dürer168.jpg,Albrecht Dürer,an old drawing of a man and woman standing next to each other,
Albrecht_Dürer169.jpg,Albrecht Dürer,a black and white drawing of a man with a beard,
Albrecht_Dürer170.jpg,Albrecht Dürer,a drawing of a man carrying a child on his back,
Albrecht_Dürer171.jpg,Albrecht Dürer,"two women in renaissance dress, one with a veil and the other with a headdress",
Albrecht_Dürer172.jpg,Albrecht Dürer,a drawing of a group of people on horses in front of a building,
Albrecht_Dürer173.jpg,Albrecht Dürer,a drawing of a woman sitting on a rock with a dog,
Albrecht_Dürer174.jpg,Albrecht Dürer,a drawing of a woman in a dress holding a plant,
Albrecht_Dürer175.jpg,Albrecht Dürer,a black and white drawing of a man wearing a hat,
Albrecht_Dürer176.jpg,Albrecht Dürer,a drawing of a man kneeling down next to a woman,
Albrecht_Dürer177.jpg,Albrecht Dürer,sketches of a woman sitting on a couch in a living room,
Albrecht_Dürer178.jpg,Albrecht Dürer,a drawing of a woman sitting on a bed in a room,
Albrecht_Dürer179.jpg,Albrecht Dürer,a drawing of a man and woman sitting on a bed with sheep,
Albrecht_Dürer180.jpg,Albrecht Dürer,a drawing of a carriage with a man and woman in it,
Albrecht_Dürer181.jpg,Albrecht Dürer,a black and white drawing of a hand holding a cloth,
Albrecht_Dürer182.jpg,Albrecht Dürer,a drawing of a woman and child sitting on a bench,
Albrecht_Dürer183.jpg,Albrecht Dürer,a drawing of a man on a horse with a flag,
Albrecht_Dürer184.jpg,Albrecht Dürer,arafed drawing of a lobster on a brown background,
Albrecht_Dürer185.jpg,Albrecht Dürer,a drawing of a man in a robe and hat,
Albrecht_Dürer186.jpg,Albrecht Dürer,a black and white drawing of a man on a cross with people,
Albrecht_Dürer187.jpg,Albrecht Dürer,a drawing of a group of people sitting around a table,
Albrecht_Dürer188.jpg,Albrecht Dürer,a black and white drawing of a group of people in a forest,
Albrecht_Dürer189.jpg,Albrecht Dürer,a drawing of a woman sitting on a bench with angels,
Albrecht_Dürer190.jpg,Albrecht Dürer,a drawing of a castle on a cliff with a river below,
Albrecht_Dürer191.jpg,Albrecht Dürer,arafed drawing of a woman with a hat and a scarf,
Albrecht_Dürer192.jpg,Albrecht Dürer,a drawing of a woman sitting on the ground with a hat on,
Albrecht_Dürer193.jpg,Albrecht Dürer,arafed drawing of a man with a beard and a cup,
Albrecht_Dürer194.jpg,Albrecht Dürer,a drawing of a man with a beard and a hat,
Albrecht_Dürer195.jpg,Albrecht Dürer,a drawing of a man in a robe and a scarf,
Albrecht_Dürer196.jpg,Albrecht Dürer,a drawing of a man and woman standing next to each other,
Albrecht_Dürer197.jpg,Albrecht Dürer,a drawing of a woman sitting on a chair with a dog,
Albrecht_Dürer198.jpg,Albrecht Dürer,a drawing of a man in a robe holding a staff,
Albrecht_Dürer199.jpg,Albrecht Dürer,arafed drawing of a man reading a book in front of a table,
Albrecht_Dürer200.jpg,Albrecht Dürer,a drawing of a man in a costume holding a sword,
Albrecht_Dürer201.jpg,Albrecht Dürer,a drawing of a mermaid sitting on a rock with a bird on its head,
Albrecht_Dürer202.jpg,Albrecht Dürer,a drawing of a drawing of a garden with a fountain,
Albrecht_Dürer203.jpg,Albrecht Dürer,a black and white drawing of a man with a hat,
Albrecht_Dürer204.jpg,Albrecht Dürer,sketches of a man and a woman sitting on a blanket in the grass,
Albrecht_Dürer205.jpg,Albrecht Dürer,a black and white drawing of a man with a hat,
Albrecht_Dürer206.jpg,Albrecht Dürer,a drawing of a man and woman in a room with a fireplace,
Albrecht_Dürer207.jpg,Albrecht Dürer,a drawing of a man on a cross with two men,
Albrecht_Dürer208.jpg,Albrecht Dürer,arafed drawing of a woman sitting on a bed with a bird,
Albrecht_Dürer209.jpg,Albrecht Dürer,a drawing of a man on a horse with a dog,
Albrecht_Dürer210.jpg,Albrecht Dürer,a drawing of a man in a robe and a scarf,
Albrecht_Dürer211.jpg,Albrecht Dürer,sketches of a line of boats in a harbor with a castle in the background,
Albrecht_Dürer212.jpg,Albrecht Dürer,a close up of a drawing of a man with a hat on,
Albrecht_Dürer213.jpg,Albrecht Dürer,a drawing of a man with a hat on his head,
Albrecht_Dürer214.jpg,Albrecht Dürer,a drawing of a woman in a dress and a shawl,
Albrecht_Dürer215.jpg,Albrecht Dürer,a black and white photo of a painting of a man on a horse,
Albrecht_Dürer216.jpg,Albrecht Dürer,drawing of a man on a horse with a dog and a man on a horse,
Albrecht_Dürer217.jpg,Albrecht Dürer,a black and white drawing of a man with a hat,
Albrecht_Dürer218.jpg,Albrecht Dürer,a black and white drawing of a man wearing a hat,
Albrecht_Dürer219.jpg,Albrecht Dürer,a drawing of a man with a hat and a scarf,
Albrecht_Dürer220.jpg,Albrecht Dürer,a drawing of a man with a bow and arrow in his hand,
Albrecht_Dürer221.jpg,Albrecht Dürer,a drawing of a man holding a sword and a woman sitting on a rock,
Albrecht_Dürer222.jpg,Albrecht Dürer,arafed arm holding a knife and a knife in it,
Albrecht_Dürer223.jpg,Albrecht Dürer,a drawing of a group of men standing next to each other,
Albrecht_Dürer224.jpg,Albrecht Dürer,arafed drawing of a man and woman sitting on a blanket,
Albrecht_Dürer225.jpg,Albrecht Dürer,a drawing of a man sitting on a chair with a book,
Albrecht_Dürer226.jpg,Albrecht Dürer,a drawing of a man with a beard and a knife,
Albrecht_Dürer227.jpg,Albrecht Dürer,a drawing of a family sitting on a bench with a dog,
Albrecht_Dürer228.jpg,Albrecht Dürer,a drawing of a group of people sitting around a baby,
Albrecht_Dürer229.jpg,Albrecht Dürer,a black and white painting of a group of people in a room,
Albrecht_Dürer230.jpg,Albrecht Dürer,a drawing of a group of people standing around a man in a robe,
Albrecht_Dürer231.jpg,Albrecht Dürer,a drawing of a bird standing on a piece of paper,
Albrecht_Dürer232.jpg,Albrecht Dürer,a black and white drawing of a man with a hat,
Albrecht_Dürer233.jpg,Albrecht Dürer,a drawing of a group of people standing around a man on a horse,
Albrecht_Dürer234.jpg,Albrecht Dürer,a black and white drawing of a man in a cloak holding a sword,
Albrecht_Dürer235.jpg,Albrecht Dürer,a drawing of a woman in a dress with a bird on her head,
Albrecht_Dürer236.jpg,Albrecht Dürer,a drawing of a woman holding a baby and a cat,
Albrecht_Dürer237.jpg,Albrecht Dürer,a drawing of a woman with a bonnet and a scarf,
Albrecht_Dürer238.jpg,Albrecht Dürer,a drawing of a group of people in a room with a flag,
Albrecht_Dürer239.jpg,Albrecht Dürer,a drawing of a woman standing with her hands in her pockets,
Albrecht_Dürer240.jpg,Albrecht Dürer,a drawing of a woman in a dress sitting on a floor,
Albrecht_Dürer241.jpg,Albrecht Dürer,a drawing of a group of people standing around a table,
Albrecht_Dürer242.jpg,Albrecht Dürer,a drawing of a man in a boat with a woman and other people,
Albrecht_Dürer243.jpg,Albrecht Dürer,a drawing of a man with a beard and a mustache,
Albrecht_Dürer244.jpg,Albrecht Dürer,a drawing of a woman's head with a bun in her hair,
Albrecht_Dürer245.jpg,Albrecht Dürer,arafed drawing of a man riding a boar with a man on his back,
Albrecht_Dürer246.jpg,Albrecht Dürer,a black and white drawing of a group of people sitting around a tree,
Albrecht_Dürer247.jpg,Albrecht Dürer,a drawing of a man and woman sitting on a couch,
Albrecht_Dürer248.jpg,Albrecht Dürer,a drawing of a man laying on a bed with a dog,
Albrecht_Dürer249.jpg,Albrecht Dürer,a drawing of a man and woman sitting on a blanket in a wooded area,
Albrecht_Dürer250.jpg,Albrecht Dürer,a drawing of a woman holding a baby in her arms,
Albrecht_Dürer251.jpg,Albrecht Dürer,a black and white drawing of a painting of a man on a platform,
Albrecht_Dürer252.jpg,Albrecht Dürer,a drawing of a woman's face with a veil on her head,
Albrecht_Dürer253.jpg,Albrecht Dürer,a drawing of a group of people standing around a man on a horse,
Albrecht_Dürer254.jpg,Albrecht Dürer,a drawing of a mountain with a boat in the water,
Albrecht_Dürer255.jpg,Albrecht Dürer,a drawing of a baby with curly hair and a nose,
Albrecht_Dürer256.jpg,Albrecht Dürer,a drawing of a pair of feet with a foot on the ground,
Albrecht_Dürer257.jpg,Albrecht Dürer,a drawing of a group of people standing around a man,
Albrecht_Dürer258.jpg,Albrecht Dürer,a close up of a drawing of a woman with a head scarf,
Albrecht_Dürer259.jpg,Albrecht Dürer,a drawing of a man holding a pole with a dog on it,
Albrecht_Dürer260.jpg,Albrecht Dürer,a drawing of a woman's face and hands with a bottle,
Albrecht_Dürer261.jpg,Albrecht Dürer,a drawing of a woman sitting on a bench with a man and a dog,
Albrecht_Dürer262.jpg,Albrecht Dürer,a drawing of a group of people standing around a table,
Albrecht_Dürer263.jpg,Albrecht Dürer,a painting of a man being taken from a building by a group of men,
Albrecht_Dürer264.jpg,Albrecht Dürer,a close up of a drawing of a man wearing a hat,
Albrecht_Dürer265.jpg,Albrecht Dürer,a drawing of a woman sitting on a chair with a shield,
Albrecht_Dürer266.jpg,Albrecht Dürer,a drawing of a man holding a flag and a dog,
Albrecht_Dürer267.jpg,Albrecht Dürer,a close up of a drawing of a woman with her eyes closed,
Albrecht_Dürer268.jpg,Albrecht Dürer,a drawing of a woman with a veil on her head,
Albrecht_Dürer269.jpg,Albrecht Dürer,a black and white drawing of a woman with a head scarf,
Albrecht_Dürer270.jpg,Albrecht Dürer,a drawing of a walian with long tusks and long tusks,
