file_name,artist_name,description,picture_name,ru_picture_name,ru_artist_name
Albrecht_Dürer37.jpg,Albrecht Durer,arafed bearded man with hat and beard,Head Of An Old Man,Глава старика,Альбрехт Дюрер
Albrecht_Dürer38.jpg,Albrecht Durer,arafed group people sitting around table,Last Supper,Последний ужин,Альбрехт Дюрер
Albrecht_Dürer39.jpg,Albrecht Durer,woman sitting on rock with dog,Reading Maria,Чтение Марии,Альбрехт Дюрер
Albrecht_Dürer40.jpg,Albrecht Durer,man with circle in his hand,Male Nude (Adam),Мужской голень (Адам),Альбрехт Дюрер
Albrecht_Dürer41.jpg,Albrecht Durer,man with hat and jacket,Portrait of Jobst Plankfelt,Портрет Jobst Plankfelt,Альбрехт Дюрер
Albrecht_Dürer42.jpg,Albrecht Durer,man riding horse holding sign,,,Альбрехт Дюрер
Albrecht_Dürer43.jpg,Albrecht Durer,arafed man in robe and hat,Portrait Donors,Доноры-портреты,Альбрехт Дюрер
Albrecht_Dürer44.jpg,Albrecht Durer,man laying on ground next to box,Nymph,Нимф,Альбрехт Дюрер
Albrecht_Dürer45.jpg,Albrecht Durer,woman in dress with hat and sash,Nuremberg woman in house dress,Нюрнбергская женщина в домашнем платье,Альбрехт Дюрер
Albrecht_Dürer46.jpg,Albrecht Durer,group people standing around man,Christ,Христос,Альбрехт Дюрер
Albrecht_Dürer47.jpg,Albrecht Durer,man leaning on box with bat,Study of a man with a Drill,Исследование человека с дриллом,Альбрехт Дюрер
Albrecht_Dürer48.jpg,Albrecht Durer,man riding horse with dog on it,Madonna and Child with bagpipers,Мадонна и ребенок с вагонами,Альбрехт Дюрер
Albrecht_Dürer49.jpg,Albrecht Durer,black and white praying hands,,,Альбрехт Дюрер
Albrecht_Dürer50.jpg,Albrecht Durer,black and white photo skull on table,Skull,Череп,Альбрехт Дюрер
Albrecht_Dürer51.jpg,Albrecht Durer,bird with wings and basket flowers,Coat of arms with open man behind,Пальто с открытыми руками,Альбрехт Дюрер
Albrecht_Dürer52.jpg,Albrecht Durer,arafed man on horse with woman on horse,Abduction on a Unicorn,Похищение единорога,Альбрехт Дюрер
Albrecht_Dürer53.jpg,Albrecht Durer,carriage with group people riding on it,The small chariot,Маленькая колесница,Альбрехт Дюрер
Albrecht_Dürer54.jpg,Albrecht Durer,arafed man holding sword and heart,Apollo,Аполлон,Альбрехт Дюрер
Albrecht_Dürer55.jpg,Albrecht Durer,man in suit and pants with bag,Garment studies,Изучение одежды,Альбрехт Дюрер
Albrecht_Dürer56.jpg,Albrecht Durer,man with headband and beard,Nude Self-portrait,Голый самопортрет,Альбрехт Дюрер
Albrecht_Dürer57.jpg,Albrecht Durer,man standing next to dog and cat,"Study Journal, naked couple and the Devil","Изучайте журнал, обнажённая пара и Дьявол",Альбрехт Дюрер
Albrecht_Dürer58.jpg,Albrecht Durer,group people sitting on ground,,,Альбрехт Дюрер
Albrecht_Dürer59.jpg,Albrecht Durer,woman sitting on couch with child,Study sheet with Mary and Child,Учебный лист с Марией и ребенком,Альбрехт Дюрер
Albrecht_Dürer60.jpg,Albrecht Durer,man with hat on his head,Portrait of William Pirckheimer,Портрет Уильяма Пиркхаймера,Альбрехт Дюрер
Albrecht_Dürer61.jpg,Albrecht Durer,woman with her eyes closed,Portrait of a woman (Agnes Dürer),Портрет женщины (Агнес Дюрер),Альбрехт Дюрер
Albrecht_Dürer62.jpg,Albrecht Durer,three men with swords and sword,Irish soldiers and peasants,Ирландские солдаты и крестьяне,Альбрехт Дюрер
Albrecht_Dürer63.jpg,Albrecht Durer,arafed image man on horse in stable,The Little Horse,Маленькая Лошадь,Альбрехт Дюрер
Albrecht_Dürer64.jpg,Albrecht Durer,woman with bird in her hand,One of the wise virgins,Одна из мудрых девственниц,Альбрехт Дюрер
Albrecht_Dürer65.jpg,Albrecht Durer,group people on boat with man on ground,,,Альбрехт Дюрер
Albrecht_Dürer66.jpg,Albrecht Durer,two men standing next to tree with bird on it,Adam and Eve,Адам и Ева,Альбрехт Дюрер
Albrecht_Dürer67.jpg,Albrecht Durer,man with beard and hat,Portrait of Captain Felix Hungersperg,Портрет капитана Феликса Голодсперга,Альбрехт Дюрер
Albrecht_Dürer68.jpg,Albrecht Durer,large group people in building,Angel Fair,Ангельская ярмарка,Альбрехт Дюрер
Albrecht_Dürer69.jpg,Albrecht Durer,group people standing around man in bed,"Madonna and Child, saints and angels playing","Мадонна и ребенок, святые и ангелы играют",Альбрехт Дюрер
Albrecht_Dürer70.jpg,Albrecht Durer,arafed woman with her eyes closed,St. Apollonia,Сент-Аполлония,Альбрехт Дюрер
Albrecht_Dürer71.jpg,Albrecht Durer,arafed man on cross with group people,Study sheet with six nude figures,Учебный лист с шестью голыми цифрами,Альбрехт Дюрер
Albrecht_Dürer72.jpg,Albrecht Durer,table with two vases and cat on it,Table and cans,Таблица и банки,Альбрехт Дюрер
Albrecht_Dürer73.jpg,Albrecht Durer,group people standing around wheel,Allegory on Social Injustice,Аллегия о социальной несправедливости,Альбрехт Дюрер
Albrecht_Dürer74.jpg,Albrecht Durer,carriage with people on it and horse drawn carriage,,,Альбрехт Дюрер
Albrecht_Dürer75.jpg,Albrecht Durer,tree with bunch branches on top it,Sketch of a Table Fountain,Рисунок фонтана стола,Альбрехт Дюрер
Albrecht_Dürer76.jpg,Albrecht Durer,arafed man in robe and cane,Standing Apostle,Постоянный апостол,Альбрехт Дюрер
Albrecht_Dürer77.jpg,Albrecht Durer,woman holding baby and bird,,,Альбрехт Дюрер
Albrecht_Dürer78.jpg,Albrecht Durer,cow grazing on grass in field,Young Steer,Молодой рулон,Альбрехт Дюрер
Albrecht_Dürer79.jpg,Albrecht Durer,man holding sword and woman kneeling down,Witch Riding Backwards On A Goat,"Ведьма, катающаяся назад на козе",Альбрехт Дюрер
Albrecht_Dürer80.jpg,Albrecht Durer,man standing with his hands in his pockets,Female Nude,Женский голень,Альбрехт Дюрер
Albrecht_Dürer81.jpg,Albrecht Durer,woman holding baby in her arms,The Virgin with Hairband on a Crescent Moon,Дева с повязкой на полумесяце,Альбрехт Дюрер
Albrecht_Dürer82.jpg,Albrecht Durer,man with hat and beard,Portrait of Hesse Eobanus,Портрет Гессен-Еобан,Альбрехт Дюрер
Albrecht_Dürer83.jpg,Albrecht Durer,window with picture man and woman in it,St George,Сент-Джордж,Альбрехт Дюрер
Albrecht_Dürer84.jpg,Albrecht Durer,woman and two men in room,Madonna and Child with musical angels,Мадонна и ребенок с музыкальными ангелами,Альбрехт Дюрер
Albrecht_Dürer85.jpg,Albrecht Durer,arafed group people sitting around table,The Last Supper,Последний ужин,Альбрехт Дюрер
Albrecht_Dürer86.jpg,Albrecht Durer,man holding bow and woman kneeling down,Apollo And Diana,Аполлон и Диана,Альбрехт Дюрер
Albrecht_Dürer87.jpg,Albrecht Durer,man on horse being pulled by group people,Allegory of eloquence,Аллегория красноречия,Альбрехт Дюрер
Albrecht_Dürer88.jpg,Albrecht Durer,woman with turban and headband,Head of a smiling woman,Глава улыбающейся женщины,Альбрехт Дюрер
Albrecht_Dürer89.jpg,Albrecht Durer,baby sitting on pillow with basket on its head,Christ boy,Боже правый!,Альбрехт Дюрер
Albrecht_Dürer90.jpg,Albrecht Durer,hand with finger pointing towards something,Right Hand of an Apostle,правая рука посланника,Альбрехт Дюрер
Albrecht_Dürer91.jpg,Albrecht Durer,man with turban and necklace,Portrait of a Man,Портрет человека,Альбрехт Дюрер
Albrecht_Dürer92.jpg,Albrecht Durer,man sitting on rock with dog,Study of a Christ on the Mount of Olives,Изучение Христа на горе Оливковой,Альбрехт Дюрер
Albrecht_Dürer93.jpg,Albrecht Durer,arafed woman with hat and scarf,Self-Portrait At Thirteen,Самопортрет в 13:00,Альбрехт Дюрер
Albrecht_Dürer94.jpg,Albrecht Durer,bearded man with long beard,Bearded Man,Бородатый человек,Альбрехт Дюрер
Albrecht_Dürer95.jpg,Albrecht Durer,bearded man with hat and beard,Portrait of a man (John Stabius),Портрет мужчины (Джон Стабиус),Альбрехт Дюрер
Albrecht_Dürer96.jpg,Albrecht Durer,man with staff and book,St. Paul,Сент-Пол,Альбрехт Дюрер
Albrecht_Dürer97.jpg,Albrecht Durer,statue man on pedestal,Bauer goose with a fountain figure,Бауэр гусь с фонтановой фигурой,Альбрехт Дюрер
Albrecht_Dürer98.jpg,Albrecht Durer,group people in field,Doomsday,Судный день,Альбрехт Дюрер
Albrecht_Dürer99.jpg,Albrecht Durer,man on horse with horse and horse,Revelation of St. John: The Four Horsemen,Откровение святого Иоанна: Четыре всадника,Альбрехт Дюрер
Albrecht_Dürer100.jpg,Albrecht Durer,man with hat and pipe,Portrait of Hans Pfaffrot of Gdansk,Портрет Ханса Пфафрота из Гданска,Альбрехт Дюрер
Albrecht_Dürer101.jpg,Albrecht Durer,man and woman standing next to each other,The Dream of the Doctor,Мечта Доктора,Альбрехт Дюрер
Albrecht_Dürer102.jpg,Albrecht Durer,woman sitting at table reading book,The Holy Family in the arbor,Святая семья в арборе,Альбрехт Дюрер
Albrecht_Dürer103.jpg,Albrecht Durer,man riding horse drawn carriage with bunch people,,,Альбрехт Дюрер
Albrecht_Dürer104.jpg,Albrecht Durer,two women in dresses and hats standing next to each other,Erin Nuremberg and Venetian,Эрин Нюрнберг и венецианец,Альбрехт Дюрер
Albrecht_Dürer105.jpg,Albrecht Durer,arafed woman holding baby in her arms,Virgin Mary suckling the Christ Child,Дева Мария кормит ребенка Христа,Альбрехт Дюрер
Albrecht_Dürer106.jpg,Albrecht Durer,woman with veil on her head,Portrait of a woman from Brussels,Портрет женщины из Брюсселя,Альбрехт Дюрер
Albrecht_Dürer107.jpg,Albrecht Durer,group people standing around man,"Studies on a great ""picture of Mary"" Angel playing",Исследования о великой «рисовке Марии» Ангел играет,Альбрехт Дюрер
Albrecht_Dürer108.jpg,Albrecht Durer,man sitting on rock with guitar,Christ and Mary Magdalene,Христос и Мария Магдалина,Альбрехт Дюрер
Albrecht_Dürer109.jpg,Albrecht Durer,vase and vase with woman in it,Ornaments for two spoons stalks,Орнаменты для двух ложек стеблей,Альбрехт Дюрер
Albrecht_Dürer110.jpg,Albrecht Durer,man sitting on rock with castle in background,St. Anthony Reading,Сент-Антони Чтение,Альбрехт Дюрер
Albrecht_Dürer111.jpg,Albrecht Durer,man with beard and robe,St. Paul,Сент-Пол,Альбрехт Дюрер
Albrecht_Dürer112.jpg,Albrecht Durer,man holding ball and woman,,,Альбрехт Дюрер
Albrecht_Dürer113.jpg,Albrecht Durer,black and white man with headband,Portrait of Jakob Fugger,Портрет Jakob Fugger,Альбрехт Дюрер
Albrecht_Dürer114.jpg,Albrecht Durer,woman with headband and sign,Portrait of a Windisch farmer,Портрет фермера Виндиш,Альбрехт Дюрер
Albrecht_Dürer115.jpg,Albrecht Durer,man with beard and turban,Head of a apostle,Глава апостола,Альбрехт Дюрер
Albrecht_Dürer116.jpg,Albrecht Durer,group people standing around building,Mass of Cardinal Albrecht of Brandenburg in the Abbey Church Hall,Масса кардинала Альбрехта Бранденбурга в церковном зале аббатства,Альбрехт Дюрер
Albrecht_Dürer117.jpg,Albrecht Durer,man in robe and hat,Blessing Savior,Благословляющий Спаситель,Альбрехт Дюрер
Albrecht_Dürer118.jpg,Albrecht Durer,black and white group men in building,Flagellation,Флагельмация,Альбрехт Дюрер
Albrecht_Dürer119.jpg,Albrecht Durer,group people sitting on beach,"Holy Family, crowned by two angels","Святая семья, коронованная двумя ангелами",Альбрехт Дюрер
Albrecht_Dürer120.jpg,Albrecht Durer,man riding horse with dog,The Little Courier,Маленький Курьер,Альбрехт Дюрер
Albrecht_Dürer121.jpg,Albrecht Durer,group people standing around building,Christ before Pilate,Христос до Пилата,Альбрехт Дюрер
Albrecht_Dürer122.jpg,Albrecht Durer,man riding horse with sword,,,Альбрехт Дюрер
Albrecht_Dürer123.jpg,Albrecht Durer,black and white man laying on ground,Lamentation,Бланкирование,Альбрехт Дюрер
Albrecht_Dürer124.jpg,Albrecht Durer,man in robe holding sword,Apostle,Апостол,Альбрехт Дюрер
Albrecht_Dürer125.jpg,Albrecht Durer,group people standing around table,"Maximilian's Alliance with Henry VIII; The Double Wedding in Vienna; The Campaign in Gelderland; The Investiture of Massimiliano Sforza as Duke of Milan; and The Venetian War, from the Arch of Honor, proof, dated 1515, printed 1517-18","Альянс Максимилиана с Генрихом VIII; Двойная свадьба в Вене; Кампания в Гелдерленде; Массимилиано Сфорца в качестве герцога Милана; и Венецианская война от Почётной Арки, доказательство от 1515 года, напечатанное 1517-18 года",Альбрехт Дюрер
Albrecht_Dürer126.jpg,Albrecht Durer,man in hat and coat,Portrait of a man (Sebastian Brant),Портрет мужчины (Себастьян Брант),Альбрехт Дюрер
Albrecht_Dürer127.jpg,Albrecht Durer,family with baby and man in church,"Studies on a great ""picture of the Virgin"" Madonna and Child, saints and angels playing","Исследования о великой «рисовке Девы» Мадонны и Дитя, святых и ангелов, играющих",Альбрехт Дюрер
Albrecht_Dürer128.jpg,Albrecht Durer,man's head with long hair,Head of a Pope,Глава папы,Альбрехт Дюрер
Albrecht_Dürer129.jpg,Albrecht Durer,man with sword and shield,,,Альбрехт Дюрер
Albrecht_Dürer130.jpg,Albrecht Durer,man on cross with wooden pole,The evil thief,Злобный вор,Альбрехт Дюрер
Albrecht_Dürer131.jpg,Albrecht Durer,angel playing guitar with wings on pedestal,"Winged Man In Idealistic Clothing, playing a Lute","Крылышки в идеалистической одежде, играющие в Лут",Альбрехт Дюрер
Albrecht_Dürer132.jpg,Albrecht Durer,man and woman standing next to each other,Death and wife,Смерть и жена,Альбрехт Дюрер
Albrecht_Dürer133.jpg,Albrecht Durer,sketches man and woman in wheelchair and other figures,"Study sheet with fools, Faun, Phoenix and Deer Hunting","Учебный лист с дураками, Фауном, Фениксом и оленьим охотником",Альбрехт Дюрер
Albrecht_Dürer134.jpg,Albrecht Durer,man with crown on his head,The Man of Sorrows,Человек угрюмых,Альбрехт Дюрер
Albrecht_Dürer135.jpg,Albrecht Durer,group men riding horses with man on horse,Fencing Reiter,Ограждение рейтера,Альбрехт Дюрер
Albrecht_Dürer136.jpg,Albrecht Durer,black and white cloth draped over chair,Father's robe God,Одежда отца,Альбрехт Дюрер
Albrecht_Dürer137.jpg,Albrecht Durer,man with hat and necklace,Portrait of a goldsmith from Mechelen,Портрет кузнеца из Мешельна,Альбрехт Дюрер
Albrecht_Dürer138.jpg,Albrecht Durer,there is group people in building,Christ before Caiaphas,Христос перед Каиафой,Альбрехт Дюрер
Albrecht_Dürer139.jpg,Albrecht Durer,man in cloak and boots,Design to a court dress,Дизайн для судебного платья,Альбрехт Дюрер
Albrecht_Dürer140.jpg,Albrecht Durer,black and white group people standing around building,Ecce homo,Экче хомяк,Альбрехт Дюрер
Albrecht_Dürer141.jpg,Albrecht Durer,woman with turban and crown,Portrait of African woman Catherine,Портрет африканской женщины Екатерины,Альбрехт Дюрер
Albrecht_Dürer142.jpg,Albrecht Durer,man with crown thorns on his head,The dead Christ with the crown of thorns,Мертвый Христос с короной шипов,Альбрехт Дюрер
Albrecht_Dürer143.jpg,Albrecht Durer,group people sitting around table,"Studies on a great ""picture of the Virgin"" Madonna and Child, saints and angels playing","Исследования о великой «рисовке Девы» Мадонны и Дитя, святых и ангелов, играющих",Альбрехт Дюрер
Albrecht_Dürer144.jpg,Albrecht Durer,woman with veil on her head,St. Anna,Сент-Анна,Альбрехт Дюрер
Albrecht_Dürer145.jpg,Albrecht Durer,man with turban and beard,Portrait of Conrat Verkell,Портрет Конрата Веркелла,Альбрехт Дюрер
Albrecht_Dürer146.jpg,Albrecht Durer,baby crying with chinese writing on it,Weeping Angel boy,Плачет ангельский мальчик,Альбрехт Дюрер
Albrecht_Dürer147.jpg,Albrecht Durer,arafed bearded man with hat and pipe,Head Of An Old Man,Глава старика,Альбрехт Дюрер
Albrecht_Dürer148.jpg,Albrecht Durer,two drawings woman and man in hats,Portrait of Marx Ulstat and the beautiful princess in Antwerp,Портрет Маркса Ульстата и красивая принцесса Антверпена,Альбрехт Дюрер
Albrecht_Dürer149.jpg,Albrecht Durer,man kneeling down next to woman,Temptation of St. Anthony,Искушение Святого Антония,Альбрехт Дюрер
Albrecht_Dürer150.jpg,Albrecht Durer,castle with clock tower and tower,The choir of the Groote Kerk in Bergen op Zoon,Хор Грута Керка в Берген-оп-Зуоне,Альбрехт Дюрер
Albrecht_Dürer151.jpg,Albrecht Durer,group people in room with man on bed,A Life of the Virgin,Жизнь Девы,Альбрехт Дюрер
Albrecht_Dürer152.jpg,Albrecht Durer,woman in dress and man in dress,Two Venetian women,Две венецианки,Альбрехт Дюрер
Albrecht_Dürer153.jpg,Albrecht Durer,building with doorway and window,Perspectivist study,Перспективное исследование,Альбрехт Дюрер
Albrecht_Dürer154.jpg,Albrecht Durer,man and woman in courtyard with dog,Visitation,Посещение,Альбрехт Дюрер
Albrecht_Dürer155.jpg,Albrecht Durer,man in hat and mantler,"Portrait of Henry Parker, Lord Morley","Портрет Генри Паркера, лорд Морли",Альбрехт Дюрер
Albrecht_Dürer156.jpg,Albrecht Durer,arafed man with long hair and white shirt,Head of an Angel,Глава ангела,Альбрехт Дюрер
Albrecht_Dürer157.jpg,Albrecht Durer,man with hat and necklace,Portrait of an eighteen year old man,Портрет восемнадцатилетнего мужчины,Альбрехт Дюрер
Albrecht_Dürer158.jpg,Albrecht Durer,woman with crown on her head,Portrait of a girl,Портрет девушки,Альбрехт Дюрер
Albrecht_Dürer159.jpg,Albrecht Durer,man in robe holding bag,Apostle,Апостол,Альбрехт Дюрер
Albrecht_Dürer160.jpg,Albrecht Durer,woman riding horse next to man,Young couple on horseback,Молодая пара на лошади,Альбрехт Дюрер
Albrecht_Dürer161.jpg,Albrecht Durer,baby sitting on chair with toothbrush,,,Альбрехт Дюрер
Albrecht_Dürer162.jpg,Albrecht Durer,black and white man on horse with bow,,,Альбрехт Дюрер
Albrecht_Dürer163.jpg,Albrecht Durer,woman in large hat holding cat,,,Альбрехт Дюрер
Albrecht_Dürer164.jpg,Albrecht Durer,man laying in bed with dog,,,Альбрехт Дюрер
Albrecht_Dürer165.jpg,Albrecht Durer,man and woman in courtyard with tree,,,Альбрехт Дюрер
Albrecht_Dürer166.jpg,Albrecht Durer,woman sitting on rock with dog,,,Альбрехт Дюрер
Albrecht_Dürer167.jpg,Albrecht Durer,man with pipe leaning against tree,,,Альбрехт Дюрер
Albrecht_Dürer168.jpg,Albrecht Durer,old man and woman standing next to each other,,,Альбрехт Дюрер
Albrecht_Dürer169.jpg,Albrecht Durer,black and white man with beard,,,Альбрехт Дюрер
Albrecht_Dürer170.jpg,Albrecht Durer,man carrying child on his back,,,Альбрехт Дюрер
Albrecht_Dürer171.jpg,Albrecht Durer,"two women in renaissance dress, one with veil and other with headdress",,,Альбрехт Дюрер
Albrecht_Dürer172.jpg,Albrecht Durer,group people on horses in front building,,,Альбрехт Дюрер
Albrecht_Dürer173.jpg,Albrecht Durer,woman sitting on rock with dog,,,Альбрехт Дюрер
Albrecht_Dürer174.jpg,Albrecht Durer,woman in dress holding plant,,,Альбрехт Дюрер
Albrecht_Dürer175.jpg,Albrecht Durer,black and white man wearing hat,,,Альбрехт Дюрер
Albrecht_Dürer176.jpg,Albrecht Durer,man kneeling down next to woman,,,Альбрехт Дюрер
Albrecht_Dürer177.jpg,Albrecht Durer,sketches woman sitting on couch in living room,,,Альбрехт Дюрер
Albrecht_Dürer178.jpg,Albrecht Durer,woman sitting on bed in room,,,Альбрехт Дюрер
Albrecht_Dürer179.jpg,Albrecht Durer,man and woman sitting on bed with sheep,,,Альбрехт Дюрер
Albrecht_Dürer180.jpg,Albrecht Durer,carriage with man and woman in it,,,Альбрехт Дюрер
Albrecht_Dürer181.jpg,Albrecht Durer,black and white hand holding cloth,,,Альбрехт Дюрер
Albrecht_Dürer182.jpg,Albrecht Durer,woman and child sitting on bench,,,Альбрехт Дюрер
Albrecht_Dürer183.jpg,Albrecht Durer,man on horse with flag,,,Альбрехт Дюрер
Albrecht_Dürer184.jpg,Albrecht Durer,arafed lobster on brown background,,,Альбрехт Дюрер
Albrecht_Dürer185.jpg,Albrecht Durer,man in robe and hat,,,Альбрехт Дюрер
Albrecht_Dürer186.jpg,Albrecht Durer,black and white man on cross with people,,,Альбрехт Дюрер
Albrecht_Dürer187.jpg,Albrecht Durer,group people sitting around table,,,Альбрехт Дюрер
Albrecht_Dürer188.jpg,Albrecht Durer,black and white group people in forest,,,Альбрехт Дюрер
Albrecht_Dürer189.jpg,Albrecht Durer,woman sitting on bench with angels,,,Альбрехт Дюрер
Albrecht_Dürer190.jpg,Albrecht Durer,castle on cliff with river below,,,Альбрехт Дюрер
Albrecht_Dürer191.jpg,Albrecht Durer,arafed woman with hat and scarf,,,Альбрехт Дюрер
Albrecht_Dürer192.jpg,Albrecht Durer,woman sitting on ground with hat on,,,Альбрехт Дюрер
Albrecht_Dürer193.jpg,Albrecht Durer,arafed man with beard and cup,,,Альбрехт Дюрер
Albrecht_Dürer194.jpg,Albrecht Durer,man with beard and hat,,,Альбрехт Дюрер
Albrecht_Dürer195.jpg,Albrecht Durer,man in robe and scarf,,,Альбрехт Дюрер
Albrecht_Dürer196.jpg,Albrecht Durer,man and woman standing next to each other,,,Альбрехт Дюрер
Albrecht_Dürer197.jpg,Albrecht Durer,woman sitting on chair with dog,,,Альбрехт Дюрер
Albrecht_Dürer198.jpg,Albrecht Durer,man in robe holding staff,,,Альбрехт Дюрер
Albrecht_Dürer199.jpg,Albrecht Durer,arafed man reading book in front table,,,Альбрехт Дюрер
Albrecht_Dürer200.jpg,Albrecht Durer,man in costume holding sword,,,Альбрехт Дюрер
Albrecht_Dürer201.jpg,Albrecht Durer,mermaid sitting on rock with bird on its head,,,Альбрехт Дюрер
Albrecht_Dürer202.jpg,Albrecht Durer,garden with fountain,,,Альбрехт Дюрер
Albrecht_Dürer203.jpg,Albrecht Durer,black and white man with hat,,,Альбрехт Дюрер
Albrecht_Dürer204.jpg,Albrecht Durer,sketches man and woman sitting on blanket in grass,,,Альбрехт Дюрер
Albrecht_Dürer205.jpg,Albrecht Durer,black and white man with hat,,,Альбрехт Дюрер
Albrecht_Dürer206.jpg,Albrecht Durer,man and woman in room with fireplace,,,Альбрехт Дюрер
Albrecht_Dürer207.jpg,Albrecht Durer,man on cross with two men,,,Альбрехт Дюрер
Albrecht_Dürer208.jpg,Albrecht Durer,arafed woman sitting on bed with bird,,,Альбрехт Дюрер
Albrecht_Dürer209.jpg,Albrecht Durer,man on horse with dog,,,Альбрехт Дюрер
Albrecht_Dürer210.jpg,Albrecht Durer,man in robe and scarf,,,Альбрехт Дюрер
